,premise,hypothesis,label
0,"On a city street, several people are present, many of them talking and wearing casual outfits, including a man with white pants at the front of the picture who is walking with his back to the camera with a Canadian flag opened and draped down his back.",People are having conversations at lunch in the city.,1
1,A group of people are fishing from a boat.,There is water beneath the people.,0
2,A woman is using a mirror to show a young girl what her painted face looks like while a crowd looks on.,A girl wearing face paint is being watched by a large group of people at a fair booth.,1
3,Two African American girls riding bikes down a dirt road.,Two girls are riding bikes outside.,0
4,"There are signs outside of a building that reads, ""Exxxotica Miami Beach presented by Hot Movies.com"" and two men holding picket signs that read, ""Repent of your wicked heart of unbelief"" and the other reads"" Love completes us to tell you that you're on your way to hell turn to Jesus"".",Some picketers with religious signs stand outside a porno theater angrily.,1
5,A white dog runs past another dog who is standing beside some patio furniture.,The second dog is black.,1
6,A teen in a yellow shirt directs his team on a sports field.,a footballer helps his team on a field,1
7,A native woman is surrounded by baskets of fresh fish that she is selling at a local market.,The native woman is selling shoes.,2
8,A skateboarding kid doing an ollie.,A man in a bowler hat rides in his Aston-Martin.,2
9,"A man with a mustache, sitting in a restaurant eating a meal.",A man is eating.,0
10,"A boy in speedos, wading through a lake.",Someone is present in the lake.,1
11,A brown dog is fetching a stick in a country setting.,There are other dogs fetching a stick in a country setting.,1
12,Sunbathers frolic on the beach under a bright sun.,Some sunbatheres are on the beach,1
13,"As a medium haired brunette wearing a brown shirt leans forward and looks on, an auburn-haired woman in a gray shirt is laughing, her head reared back somewhat as she holds a blue infant outfit, its price tag hanging just below the woman's left hand.",Two women laugh at a joke as they shop for baby clothing.,1
14,"An old bald man is sitting in a folding chair in front of a sign on the side of the road, in front of a brick building with a window that has the sign ""BATIMENT INHABITABLE.""","Old man waiting outside of his old, abandoned house.",1
15,A skinny brown dog walks across a large piece of fallen tree.,The dog is at home laying in front of the fireplace.,2
16,Some children are playing in a slum.,A slum has children playing in it.,0
17,Three children are playing in sand near to the beach.,Three children together on a school trip to the beach.,1
18,A woman wearing a white hat is holding a tennis racket full of tennis balls.,The woman is going to hit tennis balls.,1
19,A person is doing a jump with a skateboard on a ramp.,The person iwith the skateboard is on the ramp,0
20,A woman with large sunglasses happens to be hula hooping.,A womani is sleeping.,2
21,a skateboarder in a green shirt is taking a jump of a step in front of a pink building.,a skateboarder in a green shirt is taking a jump.,0
22,Air force personnel introducing the new guy.,The new guy is wearing a uniform.,1
23,Girls with dark eyeliner protesting in a group.,They were protesting the court decision.,1
24,Crowd of people watching a band play.,The band is a rock band.,1
25,A child looks upon adults enjoying a band.,People are sleeping.,2
26,Two people are competing in a martial arts match.,People are swimming.,2
27,A firefighter stands on top of the firetruck.,A firefighter stands on a firetruck,0
28,Two women walk down a street.,Two women ride bikes down the sidewalk.,2
29,A group of military personnel are playing in a brass quintet.,A group of military personnel at sleeping outside.,2
30,Group of hikers on top a snowy mountain during a storm.,People outside during a storm.,0
31,A man in glasses looks at his electronic device.,A tall person looking,1
32,A boy jumps in a gymnastic competition.,The boy has two broken legs and is in a body cast.,2
33,A biker in red rides in the countryside.,A biker in blue rides in the countryside.,2
34,This is couple hiking over some rocks in a park of some sort.,Two people are outdoors.,0
35,A man in a white jersey is slam dunking a basketball.,A woman is running,2
36,small child in pink looking at cloth.,A child is wearing pink.,0
37,"People with umbrellas standing in front of a house decorated for Christmas with trees, lights, and a biblical scene on a wall.",A group of women stand in the rain while admiring the decorative work done on a house.,1
38,A boy in a ball uniform is hitting third base.,A young male is outside.,0
39,Two men on top of a roof fixing it.,Three men are on top of a roof.,2
40,There are many tennis balls on a stand behind the blonde tennis player.,there are people playing tennis,0
41,The mouse is sitting on the dog that is in turn sitting on a coat in front of the man wearing the black top.,A man sits near his pets.,1
42,Two athletic girls in PUMA outfits hugging each other.,Two sisters hug after losing a game.,1
43,A dressed up man is sitting on a wagon in the middle of a road.,The man is old.,1
44,A dog is running through the water with an orange object in its mouth.,A dog playing in a fountain outside with his favorite toy.,1
45,A woman holding a kid with one of his hand and holding a drink with other hand in a nice party.,A woman is at a cocktail party with her toddler son.,1
46,A couple of friends inside a large bullfighting arena.,Some people at an inside event.,0
47,"A man holds a microphone to his mouth, backlit by green lights.",A band is playing.,2
48,A cowboy is falling off a bull and looks like he might get trampled.,Cowboys ride bulls.,0
49,Hiking in the mountains to have a scenic picnic.,People are eating food.,1
50,An old man in a suit jacket and glasses is standing in front of an adults only establishment painted blue.,An old man is in front of a building.,0
51,A dog carrying something blue and running.,The dog is carrying something red.,2
52,People in costumes and makeup en masse.,Cirque du Soleil performers gather.,1
53,A man sitting in a backyard with wood and a pallet.,The man is at a home.,0
54,Several young Asians relaxing on a street.,The young asians are relaxing at home.,2
55,A group of people are sleeping on a bus while a boy sends a text message.,A boy is watching a movie.,2
56,A man is walking in the rain.,dog jumps on couch,2
57,Two kids in red jerseys are playing soccer.,There are kids playing soccer on a sunny day.,1
58,A man wearing a hat and jacket is making a pot.,A man wearing a hat and jacket is creating an object.,1
59,A small boy wearing a long-sleeved shirt and slacks is walking outdoors.,A small boy is taking a walk.,0
60,A middle-aged man and woman are holding hands walking in a street with people behind them.,A couple holds hands.,0
61,A plane flying sideways.,The plane careens through the air.,0
