,observation_1,observation_2,hypothesis_1,hypothesis_2,label
0,Christina began working at a theatre when she was a teen.,She felt it was the first step to improving herself.,Christina never had a chance.,Christina never had a job.,2
1,My daughter had her baby shower in our Boston home.,My daughter was disappointed.,Many people came because it as a weekday.,Not many people came because it as a weekday.,2
2,The mouse spotted crumbs on the kitchen floor.,He ate the crumbs and ran back to his hole before the cat woke up.,The hungry mouse quietly ran from the crumbs on the kitchen.,The hungry mouse quietly ran to crumbs on the kitchen.,2
3,John and Ed had a bet on who could get the most candy on Halloween.,John then went golfing.,John knew he wouldn't get much candy. He didn't like candy anyway.,John knew he wouldn't get much candy. He didn't like popcorn anyway.,1
4,Wally went out in a field with a metal detector.,It had a value of 23 cents in today's money.,Wally found a twenty year old pop can.,Wally found a new pop can.,1
5,Jenny needed some free time to write her book.,"Now, she can finally have some free time to write her book",Jenny spent a few days late at work.,Jenny took a few days off work.,2
6,Jill was waiting for her train.,Jill arrived to work a little late due to missing the train.,Jill had an emergency to go to the rest room.,Jill had an emergency to go to the agitation room.,1
7,Ryan was told to pack his suitcase for his family vacation.,Ryan regretted missing out on swimming for the vacation.,Ryan remembered his swimsuit and could not miss a swim.,Ryan forgot his swimsuit and could not swim.,2
8,Every summer the Smiths take a trip up to the cape cod beaches.,They couldn't wait to go back next year.,They spend a lot of time having fun as a family.,They spend a lot of time having a rivalry as enemies..,1
9,Ron was a shepherd with a dozen goats.,Now Ron has a loyal watch dog for his goats.,Ron destressed by watching his goats.,Ron was too stressed to watch his goats.,2
10,Oliver had a pet fish.,Oliver named all of the fish and loved them all.,Oliver did not get more fish.,Oliver got more fish.,2
11,Julie was the only single one in her group of friends.,Julie and the guy are now a couple.,Julie friends introduced her to a guy.,"Julie friends introduced her to a guy, but they never dated.",1
12,Josh bought a parrot as a pet.,Josh was so excited that he taught his parrot how to say its name!,Josh spent hours trying to get his parrot to fetch.,Josh spent hours trying to get his parrot to talk.,2
13,Eric hated his job.,Finally he got a great new job!,Eric started applying for new jobs everywhere.,Eric stopped applying for new jobs everywhere.,1
14,Timmy scurried across the kitchen floor.,Timmy giggled and gurgled with joy as he stood for the first time.,Timmy fell into his mom.,Timmy fell into a deep pit.,1
15,Gina's brother had moved out of the house.,Gina was so angry she didn't speak to them for a week.,Gina's brother took her TV and favorite sweater with him and then returned it the next day.,Gina's brother took her TV and favorite sweater with him.,2
16,George loved to go on hikes in the morning.,He began to take pictures so he could share it with family.,The sunrise was so ugly he wished he had someone to hate it with.,the sunrise was so beautiful he wished he had someone to share it with.,2
17,Leslie's boyfriend was overseas making money.,Leslie's boyfriend punched the other boy in the nose.,Leslie had another boy over when Leslie's boyfriend returned home unexpectedly.,leslie was loyal to her boyfriend.,1
18,My mom and I had a big argument.,I finally called my mom and the two of us reconciled.,We disagreed on how I was disciplining my children. We never made up.,We disagreed on how I was disciplining my children.,2
19,Ellie was inspired to learn gymnastics after watching the Olympics.,Their inspiration helped Ellie find her balance and walk strongly.,Ellie saw many types of people doing gymnastics.,Ellie saw many types of people hurt doing gymnastics.,1
20,Adam was in the middle of a marathon but began feeling tired.,"Out of no where, a group of six runners passed by Adam.",So he decided to quicken his pace and take a little break.,So he decided to slow his pace down and take a little break.,2
21,Chicken nuggets are likely on everyone's to-eat list.,Now I can never forget the chicken delight that is nuggets.,I threw up my first chicken nuggets when I was five.,I ate my first chicken nuggets when I was five.,2
22,I poured some chemical into a beaker.,I thankfully came out without any injuries.,The mixture started bubbling and overflowed onto my yard.,The mixture started bubbling and overflowed onto my hands.,2
